participant,time_point,trans_dur,Source,Target
001,51.319,0.032999999999994145,Screen_95,CartoonTeacher
001,51.752,0.032999999999994145,CartoonTeacher,Screen_95
001,53.718,0.021999999999998465,Screen_95,CartoonTeacher
001,57.094,0.02200000000000557,CartoonTeacher,Screen_95
001,57.761,0.15699999999999648,Screen_95,FrontWall
001,57.941,0.021999999999998465,FrontWall,leftwall_5
001,57.963,0.031999999999996476,leftwall_5,leftwall
001,58.06,0.03499999999999659,leftwall,leftwall_5
001,58.128,0.03300000000000125,leftwall_5,leftwall
001,58.161,0.03200000000000358,leftwall,leftwall_5
001,58.293,0.03300000000000125,leftwall_5,leftwall
001,58.326,0.03499999999999659,leftwall,leftwall_5
001,58.361,0.03200000000000358,leftwall_5,leftwall
001,58.46,0.06700000000000017,leftwall,window1
001,60.703,0.11099999999999,window1,Screen_95
001,61.059,0.021000000000000796,Screen_95,CartoonTeacher
001,63.119,0.02400000000000091,CartoonTeacher,Screen_95
001,63.143,0.02599999999999625,Screen_95,CartoonTeacher
001,64.48,0.02199999999999136,CartoonTeacher,Screen_95
001,64.502,0.02400000000001512,Screen_95,SM_Blackboard_Schiene_low_99
001,64.52600000000001,0.042999999999992156,SM_Blackboard_Schiene_low_99,SM_Blackboard_Tafel_unten_low_101
001,65.133,0.13500000000000512,SM_Blackboard_Tafel_unten_low_101,Screen_95
001,65.268,0.031999999999996476,Screen_95,CartoonTeacher
001,67.358,0.022999999999996135,CartoonTeacher,FrontWall
001,67.381,0.02200000000000557,FrontWall,SM_Blackboard_Tafel_unten_low_101
001,67.403,0.020999999999986585,SM_Blackboard_Tafel_unten_low_101,SM_Blackboard_Schiene_low_99
001,67.42399999999999,0.02400000000001512,SM_Blackboard_Schiene_low_99,leftwall_5
001,67.44800000000001,0.022999999999996135,leftwall_5,leftwall
001,67.494,0.022999999999996135,leftwall,window1
001,67.60600000000001,0.020999999999986585,window1,leftwall
001,67.627,0.02400000000001512,leftwall,window1
001,68.09,0.022999999999996135,window1,S24_C
001,68.113,0.021000000000000796,S24_C,leftwall_3
001,68.134,0.022999999999996135,leftwall_3,S22_C
001,68.157,0.02200000000000557,S22_C,leftwall_3
001,68.22399999999999,0.021000000000015007,leftwall_3,S22_C
001,68.267,0.023000000000010346,S22_C,leftwall_3
001,68.29,0.0239999999999867,leftwall_3,S22_C
001,68.337,0.022999999999996135,S22_C,S24_C
001,68.36,0.02400000000000091,S24_C,leftwall_3
001,68.384,0.022999999999996135,leftwall_3,window2
001,68.407,0.027000000000001023,window2,S34_C
001,68.711,0.031999999999996476,S34_C,chair32
001,68.843,0.033999999999991815,chair32,leftwall
001,68.944,0.034000000000006025,leftwall,S34_C
001,68.97800000000001,0.03699999999999193,S34_C,S43_C
001,69.015,0.028999999999996362,S43_C,table42
001,69.077,0.031999999999996476,table42,S43_C
001,69.109,0.03300000000000125,S43_C,table42
001,69.242,0.034000000000006025,table42,S44_C
001,69.27600000000001,0.03299999999998704,S44_C,table42
001,69.309,0.03300000000000125,table42,S44_C
001,69.366,0.021000000000000796,S44_C,table42
001,69.387,0.02199999999999136,table42,chair44
001,69.40899999999999,0.025000000000005684,chair44,S44_C
001,69.477,0.021000000000000796,S44_C,backwall2
001,69.498,0.02199999999999136,backwall2,S44_C
001,69.611,0.02400000000000091,S44_C,backwall3
001,69.635,0.02199999999999136,backwall3,backcabin2
001,69.679,0.02200000000000557,backcabin2,S35_C
001,69.70100000000001,0.022999999999981924,S35_C,backwall1
001,69.747,0.02199999999999136,backwall1,S35_C
001,69.861,0.022999999999996135,S35_C,backwall1
001,69.907,0.02200000000000557,backwall1,S35_C
001,70.465,0.033999999999991815,S35_C,FloorLeftSide
001,70.499,0.09999999999999432,FloorLeftSide,S34_C
001,70.59899999999999,0.034000000000006025,S34_C,SM_Heizkörper2_81
001,70.633,0.03200000000001069,SM_Heizkörper2_81,table31
001,70.665,0.033999999999991815,table31,leftwall
001,70.699,0.034000000000006025,leftwall,window2
001,70.733,0.03300000000000125,window2,leftwall
001,70.8,0.03300000000000125,leftwall,leftwall_3
001,70.833,0.03300000000000125,leftwall_3,window1
001,70.866,0.034000000000006025,window1,leftwall_5
001,70.9,0.031999999999996476,leftwall_5,SM_Blackboard_Schiene_low_99
001,70.932,0.034000000000006025,SM_Blackboard_Schiene_low_99,FrontWall
001,70.999,0.02200000000000557,FrontWall,leftwall_5
001,71.08800000000001,0.02199999999999136,leftwall_5,leftwall
001,71.243,0.021000000000000796,leftwall,S14_C
001,71.264,0.022999999999996135,S14_C,SM_Blackboard_Tafel_unten_low_101
001,71.28699999999999,0.02200000000000557,SM_Blackboard_Tafel_unten_low_101,FrontWall
001,71.309,0.04600000000000648,FrontWall,Screen_95
001,71.355,0.01999999999999602,Screen_95,CartoonTeacher
001,71.375,0.022999999999996135,CartoonTeacher,Screen_95
001,71.578,0.02199999999999136,Screen_95,CartoonTeacher
001,71.625,0.022999999999996135,CartoonTeacher,Screen_95
001,71.669,0.02400000000000091,Screen_95,CartoonTeacher
001,71.693,0.09099999999999397,CartoonTeacher,Screen_95
001,71.809,0.022999999999996135,Screen_95,CartoonTeacher
001,71.832,0.02400000000001512,CartoonTeacher,FrontWall
001,72.064,0.10999999999999943,FrontWall,S16_C
001,72.509,0.02200000000000557,S16_C,frontcabin
001,72.597,0.02200000000000557,frontcabin,table14
001,72.619,0.02400000000000091,table14,chair17
001,72.687,0.02200000000000557,chair17,frontcabin
001,72.887,0.08899999999999864,frontcabin,S16_C
001,72.998,0.020999999999986585,S16_C,Screen_95
001,73.22,0.02200000000000557,Screen_95,CartoonTeacher
001,73.31,0.02199999999999136,CartoonTeacher,Screen_95
001,73.532,0.02200000000000557,Screen_95,CartoonTeacher
001,73.554,0.02200000000000557,CartoonTeacher,Screen_95
001,73.598,0.02200000000000557,Screen_95,CartoonTeacher
001,73.62,0.02199999999999136,CartoonTeacher,Screen_95
001,73.642,0.02200000000000557,Screen_95,CartoonTeacher
001,74.22,0.02200000000000557,CartoonTeacher,Screen_95
001,74.486,0.022999999999996135,Screen_95,CartoonTeacher
001,74.554,0.021000000000000796,CartoonTeacher,Screen_95
001,74.643,0.01999999999999602,Screen_95,CartoonTeacher
001,75.163,0.03300000000000125,CartoonTeacher,Screen_95
001,75.196,0.034000000000006025,Screen_95,CartoonTeacher
001,75.263,0.033999999999991815,CartoonTeacher,Screen_95
001,75.297,0.03300000000000125,Screen_95,FrontWall
001,75.33,0.03300000000000125,FrontWall,SM_Blackboard_Schiene_low_99
001,75.497,0.03300000000000125,SM_Blackboard_Schiene_low_99,FrontWall
001,75.564,0.034000000000006025,FrontWall,leftwall_5
001,75.598,0.034000000000006025,leftwall_5,S14_C
001,75.984,0.02200000000000557,S14_C,S13_C
