time,gaze_target,left.pupil_diameter_mm,right.pupil_diameter_mm
4.107,CartoonTeacher,3.33815,3.485413
4.129,CartoonTeacher,3.354233,3.485352
4.152,CartoonTeacher,3.3815,3.485931
4.174,CartoonTeacher,3.381638,3.4861910000000003
4.196000000000001,CartoonTeacher,3.355057,3.4750980000000005
4.218,CartoonTeacher,3.364777,3.463943
4.24,CartoonTeacher,3.342346,3.4627230000000004
4.262,CartoonTeacher,3.341431,3.462372
4.285,CartoonTeacher,3.333221,3.448257
4.308,CartoonTeacher,3.381714,3.439178
4.33,CartoonTeacher,3.334503,3.4346620000000003
4.352,CartoonTeacher,3.45163,3.393097
4.375,CartoonTeacher,3.369431,3.307037
4.396,CartoonTeacher,3.400955,3.136978
4.418,CartoonTeacher,3.3810580000000003,3.189667
4.441,CartoonTeacher,3.383682,3.188828
4.463,CartoonTeacher,3.384827,3.152817
4.485,CartoonTeacher,3.32663,3.132721
4.574,CartoonTeacher,3.250046,2.544403
4.596,CartoonTeacher,3.156418,3.260742
4.619,CartoonTeacher,3.202682,3.184067
4.641,CartoonTeacher,3.326309,3.128693
4.664,CartoonTeacher,3.306381,3.223206
4.687,CartoonTeacher,3.374725,3.054398
4.71,CartoonTeacher,3.413574,3.120407
4.7330000000000005,CartoonTeacher,3.3762510000000003,3.096802
4.756,CartoonTeacher,3.391953,3.016525
4.785,CartoonTeacher,3.3537449999999995,3.187485
4.8180000000000005,CartoonTeacher,3.427002,3.189301
4.852,CartoonTeacher,3.412506,3.188477
4.885,CartoonTeacher,3.421097,3.255066
4.918,CartoonTeacher,3.4270480000000005,3.267593
4.9510000000000005,CartoonTeacher,3.441238,3.2984160000000005
4.984,CartoonTeacher,3.469437,3.315857
5.018,CartoonTeacher,3.4783480000000004,3.329956
5.052,CartoonTeacher,3.479568,3.328125
5.085,CartoonTeacher,3.47081,3.305756
5.118,CartoonTeacher,3.469482,3.2813260000000004
5.151,CartoonTeacher,3.500107,3.355225
5.184,CartoonTeacher,3.4710080000000003,3.418839
5.2170000000000005,CartoonTeacher,3.468246,3.4023440000000003
5.251,CartoonTeacher,3.46846,3.402588
5.285,CartoonTeacher,3.4743190000000004,3.4022370000000004
5.318,CartoonTeacher,3.494675,3.394058
5.351,CartoonTeacher,3.508255,3.3991550000000004
5.385,CartoonTeacher,3.496414,3.399734
5.417999999999999,CartoonTeacher,3.49678,3.40596
5.452000000000001,CartoonTeacher,3.498672,3.418976
5.485,CartoonTeacher,3.498581,3.433731
5.518,CartoonTeacher,3.510971,3.439682
5.54,CartoonTeacher,3.508743,3.440109
5.562,CartoonTeacher,3.50235,3.434219
5.585,CartoonTeacher,3.504578,3.433289
5.607,CartoonTeacher,3.506485,3.415451
5.63,CartoonTeacher,3.506897,3.414566
5.652,CartoonTeacher,3.507095,3.4131160000000005
5.674,CartoonTeacher,3.502792,3.411484
