"","participant","time_point","trans_dur","Source","Target"
"177","001",31.028,0.022000000000002,"S14_C","S13_C"
"178","001",31.05,0.0229999999999997,"S13_C","S12_C"
"179","001",31.073,0.0219999999999985,"S12_C","S11_C"
"180","001",31.117,0.0219999999999985,"S11_C","window1"
"181","001",31.139,0.0229999999999997,"window1","S11_C"
"182","001",31.273,0.0240000000000009,"S11_C","window1"
"183","001",31.297,0.0210000000000008,"window1","leftwall_3"
"184","001",31.429,0.022000000000002,"leftwall_3","S22_C"
"185","001",31.451,0.0229999999999997,"S22_C","leftwall_3"
"186","001",31.498,0.0209999999999972,"leftwall_3","S24_C"
"187","001",31.656,0.0210000000000008,"S24_C","leftwall_3"
"188","001",31.677,0.0240000000000009,"leftwall_3","table32"
"189","001",31.932,0.0280000000000022,"table32","chair33"
"190","001",31.96,0.0229999999999997,"chair33","S33_C"
"191","001",31.983,0.0239999999999974,"S33_C","table32"
"192","001",32.161,0.0219999999999985,"table32","S34_C"
"193","001",32.205,0.0219999999999985,"S34_C","FloorLeftSide"
"194","001",32.227,0.0220000000000056,"FloorLeftSide","S34_C"
"195","001",32.249,0.0229999999999961,"S34_C","FloorLeftSide"
"196","001",32.272,0.0230000000000032,"FloorLeftSide","S34_C"
"197","001",32.295,0.0219999999999985,"S34_C","FloorLeftSide"
"198","001",32.317,0.0230000000000032,"FloorLeftSide","S42_C"
"199","001",32.34,0.0219999999999985,"S42_C","FloorLeftSide"
"200","001",32.362,0.0210000000000008,"FloorLeftSide","table41"
"201","001",32.383,0.0229999999999961,"table41","FloorLeftSide"
"202","001",32.43,0.0210000000000008,"FloorLeftSide","S43_C"
"203","001",32.451,0.0240000000000009,"S43_C","FloorLeftSide"
"204","001",32.522,0.0210000000000008,"FloorLeftSide","S44_C"
"205","001",32.543,0.0240000000000009,"S44_C","FloorLeftSide"
"206","001",32.679,0.0219999999999985,"FloorLeftSide","table42"
"207","001",32.701,0.0229999999999961,"table42","FloorLeftSide"
"208","001",32.724,0.0220000000000056,"FloorLeftSide","S44_C"
"209","001",32.811,0.0230000000000032,"S44_C","FloorLeftSide"
"210","001",32.966,0.0219999999999985,"FloorLeftSide","S35_C"
"211","001",32.988,0.0200000000000031,"S35_C","FloorLeftSide"
"212","001",33.03,0.0210000000000008,"FloorLeftSide","backcabin2"
"213","001",33.16,0.0220000000000056,"backcabin2","FloorLeftSide"
"214","001",33.226,0.0219999999999985,"FloorLeftSide","S44_C"
"215","001",33.248,0.0220000000000056,"S44_C","table42"
"216","001",33.27,0.0229999999999961,"table42","chair44"
"217","001",33.293,0.0230000000000032,"chair44","FloorLeftSide"
"218","001",33.316,0.0210000000000008,"FloorLeftSide","table42"
"219","001",33.337,0.0229999999999961,"table42","FloorLeftSide"
"220","001",33.36,0.0240000000000009,"FloorLeftSide","chair44"
"221","001",33.384,0.0229999999999961,"chair44","FloorLeftSide"
"222","001",33.43,0.0219999999999985,"FloorLeftSide","S35_C"
"223","001",36.209,0.0229999999999961,"S35_C","FloorLeftSide"
"224","001",36.254,0.0220000000000056,"FloorLeftSide","S44_C"
"225","001",36.276,0.0229999999999961,"S44_C","table41"
"226","001",36.299,0.0230000000000032,"table41","table42"
"227","001",36.322,0.019999999999996,"table42","FloorLeftSide"
"228","001",36.342,0.0240000000000009,"FloorLeftSide","table42"
"229","001",36.366,0.0219999999999985,"table42","table41"
"230","001",36.388,0.0219999999999985,"table41","FloorLeftSide"
"231","001",36.53,0.027000000000001,"FloorLeftSide","table42"
"232","001",36.557,0.0229999999999961,"table42","FloorLeftSide"
"233","001",36.58,0.0219999999999985,"FloorLeftSide","table42"
"234","001",36.602,0.0220000000000056,"table42","table41"
"235","001",36.716,0.0249999999999986,"table41","table42"
"236","001",36.741,0.0219999999999985,"table42","table41"
"237","001",36.763,0.0219999999999985,"table41","table42"
"238","001",36.809,0.0220000000000056,"table42","chair42"
"239","001",36.831,0.0239999999999938,"chair42","table42"
"240","001",36.855,0.0210000000000008,"table42","FloorLeftSide"
"241","001",36.876,0.0230000000000032,"FloorLeftSide","table42"
"242","001",37.263,0.0219999999999985,"table42","table41"
"243","001",37.285,0.0240000000000009,"table41","table42"
"244","001",37.338,0.0219999999999985,"table42","FloorLeftSide"
"245","001",37.36,0.0219999999999985,"FloorLeftSide","table41"
"246","001",37.382,0.0230000000000032,"table41","table42"
"247","001",37.405,0.0240000000000009,"table42","leftwall"
"248","001",37.449,0.0249999999999986,"leftwall","table42"
"249","001",37.682,0.0249999999999986,"table42","chair32"
"250","001",37.707,0.0240000000000009,"chair32","chair31"
